Timestamp,Symbol,Price,Type,Status,Bid,Ask,NoBid,NoAsk,Last,Volume,Depth,StrikeType,FloorStrike,CapStrike
2026-09-06T15:50:03.027090,KXHIGHLAX-26SEP07-T76 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,766,,less,,76.0
2026-09-06T15:50:03.031068,KXHIGHLAX-26SEP07-B82.5 (Market),0.16,MARKET_DATA,REAL,0.16,0.17,0.83,0.84,0.16,335,,between,82.0,83.0
2026-09-06T15:50:03.036771,KXHIGHLAX-26SEP07-B80.5 (Market),0.04,MARKET_DATA,REAL,0.04,0.06,0.94,0.96,0.06,1789,,between,80.0,81.0
2026-09-06T15:50:03.043014,KXHIGHLAX-26SEP07-B78.5 (Market),0.01,MARKET_DATA,REAL,0.01,0.03,0.97,0.99,0.01,183,,between,78.0,79.0
2026-09-06T15:50:03.047517,KXHIGHLAX-26SEP07-B76.5 (Market),0.01,MARKET_DATA,REAL,0.01,0.02,0.98,0.99,0.01,713,,between,76.0,77.0
2026-09-06T15:50:03.053731,KXHIGHLAX-26SEP06-T83 (Market),0.01,MARKET_DATA,REAL,0.01,0.02,0.98,0.99,0.02,37959,,greater,83.0,
2026-09-06T15:50:03.058236,KXHIGHLAX-26SEP06-T76 (Market),0.1,MARKET_DATA,REAL,0.1,0.11,0.89,0.9,0.1,29419,,less,,76.0
2026-09-06T15:50:03.061918,KXHIGHLAX-26SEP06-B82.5 (Market),0.05,MARKET_DATA,REAL,0.05,0.06,0.94,0.95,0.07,20548,,between,82.0,83.0
2026-09-06T15:50:03.065647,KXHIGHLAX-26SEP06-B80.5 (Market),0.15,MARKET_DATA,REAL,0.15,0.17,0.83,0.85,0.17,30399,,between,80.0,81.0
2026-09-06T15:50:03.071175,KXHIGHLAX-26SEP06-B78.5 (Market),0.46,MARKET_DATA,REAL,0.46,0.5,0.5,0.54,0.52,34643,,between,78.0,79.0
2026-09-06T15:50:03.076605,KXHIGHLAX-26SEP06-B76.5 (Market),0.19,MARKET_DATA,REAL,0.19,0.23,0.77,0.81,0.24,32527,,between,76.0,77.0
2026-09-06T15:50:03.082023,KXHIGHLAX (F),68.0,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T15:50:28.793583,KXHIGHNY-26SEP07-T84 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,876,,greater,84.0,
2026-09-06T15:50:28.793928,KXHIGHNY-26SEP07-T77 (Market),0.07,MARKET_DATA,REAL,0.07,0.08,0.92,0.93,0.07,35,,less,,77.0
2026-09-06T15:50:28.794057,KXHIGHNY-26SEP07-B83.5 (Market),0.02,MARKET_DATA,REAL,0.02,0.03,0.97,0.98,0.01,151,,between,83.0,84.0
