Timestamp,Equity,Cash,Exposure,Realized_PnL,Unrealized_PnL
2026-03-23T18:05:39.592723,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
2026-03-23T18:05:40.824067,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
2026-03-23T18:05:41.949615,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
2026-03-23T18:05:43.110265,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
2026-03-23T18:05:44.227032,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
2026-03-23T18:05:45.336454,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
2026-03-23T18:05:46.471787,1622.554,1547.074,81.03,-1371.896,-5.549999999999993
2026-03-23T18:05:47.733521,1622.554,1547.074,81.03,-1371.896,-5.549999999999993
2026-03-23T18:05:48.855140,1622.554,1547.074,81.03,-1371.896,-5.549999999999993
2026-03-23T18:05:50.007592,1622.554,1547.074,81.03,-1371.896,-5.549999999999993
2026-03-23T18:05:51.115080,1622.554,1547.074,81.03,-1371.896,-5.549999999999993
2026-03-23T18:05:52.222314,1622.554,1547.074,81.03,-1371.896,-5.549999999999993
2026-03-23T18:05:53.336153,1622.554,1547.074,81.03,-1371.896,-5.549999999999993
2026-03-23T18:05:54.471416,1622.554,1547.074,81.03,-1371.896,-5.549999999999993
2026-03-23T18:05:55.661725,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:05:56.782187,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:05:57.911171,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:05:59.037639,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:00.148895,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:01.290117,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:02.494107,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:03.603044,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:04.712095,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:05.829563,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:06.943798,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:08.060589,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:09.208856,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:10.425422,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:11.536289,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:12.673196,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:13.777121,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:14.892799,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:16.031700,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:17.287566,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:18.418917,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:19.583735,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:20.746349,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:21.869684,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:22.992426,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:24.264173,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:25.370666,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:26.483923,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:27.595126,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:28.721170,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:29.864440,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:30.990259,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:32.230165,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:33.337407,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:34.484221,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:35.598460,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:36.704907,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:37.857231,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:39.130503,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:40.237564,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:41.390614,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:42.498251,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:43.607262,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:44.712163,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:45.853667,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:47.095112,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:48.219354,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:49.359841,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:50.466210,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:51.575657,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:52.704229,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:53.932880,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:55.045097,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:56.160636,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:57.299111,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:58.421644,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:06:59.528188,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
2026-03-23T18:07:00.667700,1624.7740000000001,1624.7740000000001,0.0,-1375.2259999999999,0
